target,vp,vp_lat,vp_lon,radius,pop_iata,pop_lat,pop_lon
104.18.189.0,gb-lhr-manycast,51.50853,-0.12574,128.20072217105263,BQH,51.3307991028,0.0324999988
104.18.189.0,fr-cdg-manycast,48.916544,2.384315,191.31492385526312,PAR,49.0127983093,2.5499999523
104.18.53.0,gb-man-manycast,55.71667,-2.26667,60.155723480263156,NoCity,55.71667,-2.26667
104.18.53.0,gb-lhr-manycast,51.50853,-0.12574,141.0207943881579,BQH,51.3307991028,0.0324999988
104.18.53.0,fr-cdg-manycast,48.916544,2.384315,237.66441571710527,PAR,49.0127983093,2.5499999523
104.16.185.0,pl-waw-manycast,52.22977,21.01178,65.0865204868421,WAW,52.1656990051,20.9671001434
104.16.185.0,gb-man-manycast,55.71667,-2.26667,74.9481145,EDI,55.9500007629,-3.3724999428
104.16.185.0,nl-ams-manycast,52.378502,4.89998,128.20072217105263,AMX,52.3086013794,4.7638897896
104.16.185.0,fr-cdg-manycast,48.916544,2.384315,193.28724265789472,PAR,49.0127983093,2.5499999523
104.16.185.0,gb-lhr-manycast,51.50853,-0.12574,240.62289392105262,BQH,51.3307991028,0.0324999988
104.17.79.0,pl-waw-manycast,52.22977,21.01178,56.211085874999995,WAW,52.1656990051,20.9671001434
104.17.79.0,gb-man-manycast,55.71667,-2.26667,65.0865204868421,NoCity,55.71667,-2.26667
